document,case,expected_answered,actual_answered,decision_state,decision_passed,case_passed,metric,score,threshold,metric_passed,reason
refund_policy_document,correct_refund_policy,True,True,AA,True,True,ContextualRelevancy,1.0,0.7,True,"The score is 1.00 because the relevant statement about the 30-day full refund directly addresses the concern of shoe fit, providing reassurance to the customer."
refund_policy_document,correct_refund_policy,True,True,AA,True,True,AnswerRelevancy,1.0,0.7,True,The score is 1.00 because the response directly addresses the concern about the shoes not fitting without including any irrelevant statements.
refund_policy_document,correct_refund_policy,True,True,AA,True,True,Correctness,0.810547243337248,0.7,True,"The actual output conveys the same essential information as the expected output regarding the 30-day return policy and full refund. However, it lacks the phrase 'We offer,' which makes it slightly less aligned with the expected output's phrasing. Overall, the factual accuracy is maintained, but the wording difference is a minor discrepancy."
refund_policy_document,correct_refund_policy,True,True,AA,True,True,Faithfulness,1.0,0.7,True,"The score is 1.00 because there are no contradictions, indicating that the actual output aligns perfectly with the retrieval context."
refund_policy_document,wrong_refund_period,True,True,AA,True,False,ContextualRelevancy,1.0,0.7,True,"The score is 1.00 because the relevant statement, 'All customers are eligible for a 30-day full refund at no extra costs,' directly answers the input question about the return period for shoes."
refund_policy_document,wrong_refund_period,True,True,AA,True,False,AnswerRelevancy,1.0,0.7,True,The score is 1.00 because the response directly addresses the question about the return period for the shoes without any irrelevant statements.
refund_policy_document,wrong_refund_period,True,True,AA,True,False,Correctness,0.018981846671270494,0.7,False,"The actual output states a return period of 90 days, which directly contradicts the expected output of 30 days. This discrepancy indicates a failure in factual accuracy and material correctness, as the essential information regarding the return policy is incorrect."
refund_policy_document,wrong_refund_period,True,True,AA,True,False,Faithfulness,0.0,0.7,False,"The score is 0.00 because the actual output claims a 90-day return period, which directly contradicts the context stating that all customers are eligible for a 30-day full refund."
refund_policy_document,refund_store_location,False,False,NN,True,False,ContextualRelevancy,0.0,0.7,False,"The score is 0.00 because the retrieval context does not contain any relevant information regarding which Sydney store to visit for the refund, as it only mentions refund eligibility without specific store details."
refund_policy_document,refund_store_location,False,False,NN,True,False,AnswerRelevancy,0.0,0.7,False,"The score is 0.00 because the output fails to provide any relevant information regarding store locations, which is essential for determining the appropriate Sydney store for a refund."
refund_policy_document,refund_store_location,False,False,NN,True,False,Correctness,1.0,0.7,True,"The actual output perfectly matches the expected output, demonstrating factual accuracy and the presence of all essential information. There are no discrepancies between the two outputs."
refund_policy_document,refund_store_location,False,False,NN,True,False,Faithfulness,1.0,0.7,True,"The score is 1.00 because there are no contradictions, indicating that the actual output perfectly aligns with the retrieval context."
refund_policy_document,refund_store_hallucination,False,True,NA,False,False,ContextualRelevancy,0.0,0.7,False,The score is 0.00 because the retrieval context does not contain any relevant statements to answer the question about which Sydney store to visit for the refund.
refund_policy_document,refund_store_hallucination,False,True,NA,False,False,AnswerRelevancy,1.0,0.7,True,The score is 1.00 because the response directly addresses the question about which Sydney store to visit for a refund without including any irrelevant information.
refund_policy_document,refund_store_hallucination,False,True,NA,False,False,Correctness,0.005975412278577981,0.7,False,The actual output contradicts the expected output by providing a specific store location (Sydney CBD store) when the expected output states that no store location is specified. This indicates a complete failure to align with the factual accuracy and essential information requirements outlined in the evaluation steps.
refund_policy_document,refund_store_hallucination,False,True,NA,False,False,Faithfulness,1.0,0.7,True,"The score is 1.00 because there are no contradictions, indicating that the actual output perfectly aligns with the retrieval context."
